Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
LOFT-M3087,2023-10-04T19:56:58Z,2023-07-05T20:28:59Z,Mac,Ventura (13),22G120,,22.6.0,"MacBookPro18,1",Apple Inc.,Workstation,Other,,,,"General-Prevention-Mac
13 Sep 23 18:50 UTC","General-Response-Mac
05 Jul 23 20:30 UTC","General-Sensor-Mac
19 Sep 23 15:08 UTC",No policy,No policy,2088d991fc9645a18654416fe0d6d0b9,100.127.100.1,54.215.176.108,,168.196.87.218,,bc-d0-74-3e-76-73,,normal,4294967295,DD7H3JDYCC,6.58.17102.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Mac,LF_Mac_Scan_Agendado"
CP-W2139,2023-10-04T19:36:43Z,2023-08-10T15:25:09Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-10-03T22:57:17Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:18 UTC","General-Response-Windows
10 Aug 23 15:26 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,3105103ea3624efcb03a8087fa44ce3c,10.111.140.84,10.111.140.84,10.111.140.1,179.109.39.115,,90-cc-df-3d-d1-be,90-cc-df-3d-d1-be,normal,526060,7JBHB93,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6009,2023-10-04T19:25:31Z,2022-08-05T17:13:48Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-21T12:30:01Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 23:11 UTC","General-Response-Windows
05 Aug 22 17:14 UTC","General-Sensor-Windows
29 Aug 23 14:35 UTC",No policy,No policy,b934f6e73ad94d0fb61e42a4e138d7d1,192.168.5.73,192.168.5.73,192.168.5.1,187.16.131.120,,00-d7-6d-5c-45-45,00-d7-6d-5c-45-45,normal,526017,219VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W0968,2023-10-04T20:02:56Z,2022-12-21T11:02:33Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1702,Aspire A515-54,Acer,Workstation,Laptop,2023-08-31T12:14:00Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:17 UTC","General-Response-Windows
21 Dec 22 11:03 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,b4884facfafe4c03a962aa64de3477b2,10.111.140.54,10.111.140.54,10.111.140.1,200.170.190.57,,d8-f3-bc-6d-75-fd,d8-f3-bc-6d-75-fd,normal,526060,NXHQMAL00T13802A229Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1054,2023-10-04T19:34:08Z,2023-09-01T15:13:04Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-20T14:28:43Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
01 Sep 23 15:16 UTC","General-Sensor-Windows
01 Sep 23 17:00 UTC",No policy,No policy,94733af6c52f4f178fa706f77815a8d4,10.111.140.150,10.111.140.150,10.111.140.1,200.170.190.57,,70-cd-0d-35-b6-a0,70-cd-0d-35-b6-a0,normal,526060,NXHQMAL00T144009439Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W1170,2023-10-04T19:59:38Z,2022-12-20T13:01:58Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-30T17:24:15Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:51 UTC","General-Response-Windows
20 Dec 22 13:09 UTC","General-Sensor-Windows
29 Aug 23 14:35 UTC",No policy,No policy,9c13d3511ad3424b817616dd461b3a65,10.111.140.170,10.111.140.170,10.111.140.1,191.177.185.77,,48-51-c5-77-81-02,48-51-c5-77-81-02,normal,526060,NXHQMAL00T149071909Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W3565,2023-10-04T19:49:26Z,2022-12-06T20:41:32Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-10-03T12:33:39Z,,,"General-Prevention-Windows-Workstation
14 Sep 23 05:42 UTC","General-Response-Windows
11 Jul 23 18:45 UTC","General-Sensor-Windows
29 Aug 23 14:33 UTC",No policy,No policy,68c8b936e3774554a7fdfc1db5d68d52,10.10.140.21,10.10.140.21,10.10.140.1,152.250.58.89,,00-d7-6d-2a-a7-bf,00-d7-6d-2a-a7-bf,normal,526017,FBGTQK3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W6243,2023-10-04T20:02:44Z,2023-05-25T17:52:07Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-25T14:02:55Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
25 May 23 17:54 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,55b06abeab064d198940f5a19f03e94a,192.168.0.5,2804:18:1051:1112:a46a:1569:448:8766,fe80:0:0:0:4435:83ff:fe8e:5864,187.22.130.227,,00-d7-6d-5f-ae-06,00-d7-6d-5f-ae-06,normal,526017,C3KXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-SPW-3345,2023-10-04T19:52:56Z,2021-09-30T14:29:25Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3448,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-10-04T12:47:15Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
30 Sep 21 14:31 UTC","General-Sensor-Windows
29 Aug 23 17:35 UTC",No policy,No policy,b1f223f7ce094a5480566f13e3c9f7ca,10.10.140.33,10.10.140.33,10.10.140.1,177.190.196.142,,00-d7-6d-12-c3-84,00-d7-6d-12-c3-84,normal,526017,BSBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-CWB-W2021,2023-09-22T14:18:41Z,2023-06-13T17:26:31Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2283,Aspire A515-54,Acer,Workstation,Laptop,2023-09-19T03:05:22Z,,,"General-Prevention-Windows-Workstation
13 Sep 23 19:16 UTC","General-Response-Windows
13 Jun 23 18:05 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,d626ca1b96a14591a9d919184dbd3452,192.168.100.136,192.168.100.136,192.168.100.1,191.221.212.234,,d8-f3-bc-6d-46-c3,d8-f3-bc-6d-46-c3,normal,526060,NXHQMAL00T13802DB49Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
