ComputerName,user_state,HardwareVendor,HardwareModel,device_os,Device Group
LOFT-SPW-2568,,Dell Inc.,Latitude 7400,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0182,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-2529,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0935,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-AUGW-0636,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0887,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0455,SUSPENDED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-2284,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3025,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0266,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0969,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0173,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0283,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3000,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-03008,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-03024,SUSPENDED,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-03041,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0701,ACTIVATED,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-0421,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-W3582,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3471,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3274,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3305,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3145,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3058,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3060,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3057,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3099,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3074,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3085,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3073,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3098,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0654,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3216,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3061,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3111,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3345,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3366,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3206,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3382,SUSPENDED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3361,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3268,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3297,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3408,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3439,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3442,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3443,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3267,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3488,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-L3087,ACTIVATED,Dell Inc.,Latitude 3420,LinuxMint,GRP-BR-Windows-Dell
LOFT-W3034,,Dell Inc.,Latitude 3410,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3224,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3333,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3399,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-W0994,ACTIVATED,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3449,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3119,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3234,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3484,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3150,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3233,,Dell Inc.,Latitude 3420,,GRP-BR-Windows-Dell
LOFT-SPW-3273,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3498,,Dell Inc.,Latitude 3420,,GRP-BR-Windows-Dell
LOFT-SPW-3360,,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3186,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3320,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3376,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3231,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFT-SPW-3218,ACTIVATED,Dell Inc.,Latitude 3420,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0966-PRIDE-1,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0363-BARRAISERS-3,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0398-BELOHORIZONTE-4,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0189-BRASIL-4,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
LOFTZOOM-W0832-NUNCAESOUMAP-3,,Dell Inc.,Latitude 3400,Windows,GRP-BR-Windows-Dell
LOFT-ZOOM-0583,,Dell Inc.,Latitude 3490,Windows,GRP-BR-Windows-Dell
