ComputerName,HardwareVendor,HardwareModel,device_os
LOFT-M2085,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2085,Apple Inc.,"MacBookPro16,1",macOS
LOFT-M2085,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2007,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-2568,Dell Inc.,Latitude 7400,Windows
LOFT-SPM-2002,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2002,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2002,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0182,Dell Inc.,Latitude 3490,Windows
LOFT-AUGW-0824,Avell High Performance,Avell G1555 MUV / A62 MUV,Windows
LOFT-SPW-2529,Dell Inc.,Latitude 3400,Windows
LOFT-SPW-0935,Dell Inc.,Latitude 3400,Windows
LOFT-AUGW-0636,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-2737,Apple Inc.,"MacBookAir9,1",macOS
LOFT-SPM-2737,Apple Inc.,"MacBookAir9,1",macOS
LOFT-SPW-0887,Dell Inc.,Latitude 3400,Windows
LOFT-SPM-2021,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2021,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2509,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2509,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2509,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPL-0825,Avell High Performance,Avell G1555 MUV / A62 MUV,Ubuntu
LOFT-SPW-0455,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-2457,Apple Inc.,"MacBookPro15,4",macOS
LOFT-SPM-2457,Apple Inc.,"MacBookPro15,4",macOS
LOFT-SPM-2457,Apple Inc.,"MacBookPro15,4",macOS
LOFT-BRMW-1121,LENOVO,20H2S0A200,Windows
LOFT-SPM-2262,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2262,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2262,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2666,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2666,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2471,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2471,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-2284,Dell Inc.,Latitude 3410,Windows
LOFT-SPM-2011,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2011,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3025,Dell Inc.,Latitude 3410,Windows
LOFT-SPM-2557,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2557,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-2557,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0266,Dell Inc.,Latitude 3490,Windows
LOFT-SPW-0969,Dell Inc.,Latitude 3400,Windows
LOFT-SPM-1355,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1355,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1355,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1483,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1483,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1396,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1396,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0173,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-1752,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1752,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-1752,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-0283,Dell Inc.,Latitude 3490,Windows
LOFT-SPM-3589,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3589,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3589,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-3000,Dell Inc.,Latitude 3410,Windows
LOFT-SPM-3551,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3551,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPM-3551,Apple Inc.,"MacBookPro16,1",macOS
LOFT-SPW-03008,Dell Inc.,Latitude 3410,Windows
LOFT-SPW-03024,Dell Inc.,Latitude 3410,Windows
LOFT-SPW-03041,Dell Inc.,Latitude 3410,Windows
